License.Number,Facility.Name,address,Phone,Facility.Type,Permit.Type,latitude,longitude,Website
39000233,1ST PLACE ACADEMY,1002 N DURHAM AVE CREEDMOOR NC 27522,(919) 528-9378,Center,Three Star Center License,36.12955098,-78.6811052,https://ncchildcare.ncdhhs.gov/childcaresearch
26002287,"1ST START CHILD DEVELOPMENT CENTER, INC.",1425 MCARTHUR  RD  FAYETTEVILLE NC 28311,(910) 488-8881,Center,Four Star Center License,35.14547551,-78.91065599,https://ncchildcare.ncdhhs.gov/childcaresearch
25000534,3 C'S COX CHILDCARE CENTER,403 NINTH  ST  NEW BERN NC 28562,"
(252) 288-5809",Center,Five Star Center License,35.10479239,-77.07248455,https://ncchildcare.ncdhhs.gov/childcaresearch
36000578,4 KIDZ ONLY INC.,602 BESSEMER CITY  RD  GASTONIA NC 28052,"
(704) 691-7945",Center,Three Star Center License,35.26511582,-81.21896336,https://ncchildcare.ncdhhs.gov/childcaresearch
42000202,A - Z CHILDREN ENRICHMENT ACADEMY,310 CHARLOTTE  ST  ROANOKE RAPIDS NC 27870,"
(252) 519-1019",Center,Three Star Center License,36.46612839,-77.64675497,https://ncchildcare.ncdhhs.gov/childcaresearch
49000379,A BETTER PLACE CHRISTIAN ACADEMY,437 HILLCREST DR STATESVILLE NC 28677,"
(704) 872-7779",Center,Four Star Center License,35.802306,-80.89235802,https://ncchildcare.ncdhhs.gov/childcaresearch
34000361,A BETTER WORLD LEARNING CENTER,317 E 33RD ST WINSTON-SALEM NC 27105,"
(336) 725-7358",Center,Four Star Center License,36.1325212,-80.24171224,https://ncchildcare.ncdhhs.gov/childcaresearch
92002546,A BRIGHT CHILD DEVELOPMENT CENTER,7229 PILGRIM  RD  RALEIGH NC 27616,(919) 696-1234,Center,Four Star Center License,35.8742396,-78.54574097,https://ncchildcare.ncdhhs.gov/childcaresearch
51000869,A BRIGHT START CHILD CARE LEARNING CENTER INC.,861 BERKSHIRE RD SMITHFIELD NC 27577,(919) 938-5292,Center,Four Star Center License,35.51912455,-78.32538024,https://ncchildcare.ncdhhs.gov/childcaresearch
60001713,A CHILD'S CHOICE LEARNING CENTER II,322 S GARDNER AVE CHARLOTTE NC 28208,"
(704) 374-1441",Center,Five Star Center License,35.24519568,-80.86629885,https://ncchildcare.ncdhhs.gov/childcaresearch
41001572,A CHILD'S DREAM,1623 WILLOMORE  ST  GREENSBORO NC 27403,"
(336) 274-4118",Center,Three Star Center License,36.04860991,-79.81364912,https://ncchildcare.ncdhhs.gov/childcaresearch
76000505,A CHILD'S JOURNEY,1801 S FAYETTEVILL  ST  ASHEBORO NC 27205,"
(336) 736-8720",Center,GS 110-106,35.68162737,-79.81725587,https://ncchildcare.ncdhhs.gov/childcaresearch
